filename,artist_folder,bpm,key,duration_sec,sample_rate,bit_depth,channels,file_size_mb,format,path
SERGIK - No Stopping.wav,Unknown Artist,,,259.05,44100,24,2,65.37,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - No Stopping.wav
no love (0).wav,Unknown Artist,,,116.03,44100,0,2,19.52,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/no love (0).wav
SERGIK - 49ers - Move Your Feet (remix).wav,Unknown Artist,,,249.6,44100,24,2,62.98,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - 49ers - Move Your Feet (remix).wav
3 41 AM.wav,Unknown Artist,,,135.53,44100,0,2,22.8,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/3 41 AM.wav
Cory Hill x SERGIK - Love.wav,Unknown Artist,,,296.0,44100,24,2,74.69,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Cory Hill x SERGIK - Love.wav
SERGIK - Somthn L's.wav,Unknown Artist,,,300.0,44100,24,2,75.7,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Somthn L's.wav
SERGIK x Francisco Josue - Let Me.wav,Unknown Artist,,,251.61,44100,0,2,42.33,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Francisco Josue - Let Me.wav
SERGIK x Steve - Yard man.wav,Unknown Artist,,,181.42,44100,24,2,45.78,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Steve - Yard man.wav
Lodin - A Letter From Home 2.mp3,Unknown Artist,,,400.01,44100,0,2,15.26,mp3,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Lodin - A Letter From Home 2.mp3
Hidden World of Fungi (Instrumental)  - Michael Crowe x SERGIK.wav,Unknown Artist,,,155.08,44100,24,2,39.13,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Hidden World of Fungi (Instrumental)  - Michael Crowe x SERGIK.wav
Cory Hill x SERGIK - Love 1.wav,Unknown Artist,,,302.0,44100,24,2,76.21,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Cory Hill x SERGIK - Love 1.wav
SERGIK x L9V - 6 Hours In.2.wav,Unknown Artist,,,232.32,48000,24,2,63.81,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x L9V - 6 Hours In.2.wav
SERGIK x Silent Jay - Make Me Free.wav,Unknown Artist,,,241.89,48000,24,2,66.44,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Silent Jay - Make Me Free.wav
